난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,11724,연결 요소의 개수,UNRANK,틀렸습니다,,,PyPy3,689,2022-04-16 14:50
Silver I,자료 구조/우선순위 큐,11286,절댓값 힙,Platinum IV,맞았습니다!!,2532,16,C++17,3601,2022-04-16 14:49
Gold IV,깊이 우선 탐색/그래프 이론/그래프 탐색/트리,1967,트리의 지름,Silver II,런타임 에러 (RecursionError),,,Python 3,402,2022-04-16 14:49
Silver III,유클리드 호제법/수학/정수론,9613,GCD 합,Silver I,출력 초과,,,node.js,751,2022-04-16 14:49
Bronze I,구현/수학,1110,더하기 사이클,UNRANK,틀렸습니다,,,C++17,268,2022-04-16 14:49
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1012,유기농 배추,Silver I,틀렸습니다,,,C++17,990,2022-04-16 14:49
Silver IV,브루트포스 알고리즘,1065,한수,UNRANK,맞았습니다!!,1112,0,C99,360,2022-04-16 14:49
Gold III,다이나믹 프로그래밍/누적 합,21757,나누기,Platinum III,58점,6708,4,C++17,1038,2022-04-16 14:49
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,맞았습니다!!,30840,76,Python 3,51,2022-04-16 14:49
Bronze IV,사칙연산/수학,4299,AFC 윔블던,UNRANK,틀렸습니다,,,Python 3,151,2022-04-16 14:49
Bronze III,사칙연산/수학,2163,초콜릿 자르기,Bronze V,틀렸습니다,,,Python 3,62,2022-04-16 14:49
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,4963,섬의 개수,UNRANK,컴파일 에러,,,C#,857,2022-04-16 14:49
Silver I,자료 구조/우선순위 큐,11286,절댓값 힙,Platinum IV,틀렸습니다,,,C++17,3601,2022-04-16 14:49
Silver IV,기하학/수학,1002,터렛,Gold III,틀렸습니다,,,Python 3,505,2022-04-16 14:49
Gold II,이분 탐색/가장 긴 증가하는 부분 수열: O(n log n),12015,가장 긴 증가하는 부분 수열 2,Silver II,틀렸습니다,,,PyPy3,103,2022-04-16 14:49
Gold V,백트래킹/조합론/수학/문자열,6443,애너그램,Gold III,시간 초과,,,PyPy3,293,2022-04-16 14:49
Bronze III,구현,2440,별 찍기 - 3,Silver I,맞았습니다!!,30840,68,Python 3,86,2022-04-16 14:49
Gold V,브루트포스 알고리즘,1025,제곱수 찾기,UNRANK,틀렸습니다,,,Java 11,1323,2022-04-16 14:49
Silver IV,기하학/수학,1002,터렛,Silver IV,틀렸습니다,,,Swift,630,2022-04-16 14:49
Silver I,조합론/다이나믹 프로그래밍/수학,10164,격자상의 경로,UNRANK,32점,30840,72,Python 3,671,2022-04-16 14:49
Bronze II,구현/문자열,10809,알파벳 찾기,Silver V,맞았습니다!!,30840,72,Python 3,121,2022-04-16 14:49
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,UNRANK,틀렸습니다,,,Python 3,169,2022-04-16 14:49
Bronze II,사칙연산/수학,3052,나머지,Bronze I,시간 초과,,,C99,424,2022-04-16 14:49
Bronze IV,사칙연산/수학,2480,주사위 세개,UNRANK,맞았습니다!!,17668,212,Java 11,510,2022-04-16 14:49
Silver I,그리디 알고리즘/수학/정렬,23758,중앙값 제거,Gold IV,시간 초과,,,Java 11,895,2022-04-16 14:49
Silver I,자료 구조/우선순위 큐,11286,절댓값 힙,Platinum IV,틀렸습니다,,,C++17,3601,2022-04-16 14:49
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,시간 초과,,,PyPy3,554,2022-04-16 14:49
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,Silver IV,맞았습니다!!,30840,68,Python 3,313,2022-04-16 14:49
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,Bronze III,틀렸습니다,,,node.js,450,2022-04-16 14:49
Silver I,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,2667,단지번호붙이기,Gold IV,맞았습니다!!,31084,72,Python 3,908,2022-04-16 14:49
Gold II,이분 탐색/누적 합,2632,피자판매,Gold I,시간 초과,,,Java 11,1571,2022-04-16 14:49
Silver IV,기하학/수학,1002,터렛,Silver IV,컴파일 에러,,,Swift,611,2022-04-16 14:49
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Gold V,시간 초과,,,Java 8,546,2022-04-16 14:49
Silver V,정렬,11650,좌표 정렬하기,Silver III,맞았습니다!!,58544,372,Python 3,246,2022-04-16 14:49
Bronze III,사칙연산/그리디 알고리즘/구현/수학/시뮬레이션,22864,피로도,UNRANK,틀렸습니다,,,Python 3,452,2022-04-16 14:49
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,틀렸습니다,,,Python 3,36,2022-04-16 14:49
Gold V,다이나믹 프로그래밍,2133,타일 채우기,Gold II,틀렸습니다,,,C++17,220,2022-04-16 14:49
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,틀렸습니다,,,Python 3,36,2022-04-16 14:49
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,틀렸습니다,,,Python 3,578,2022-04-16 14:49
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Bronze IV,맞았습니다!!,1112,0,C99,404,2022-04-16 14:49
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Silver I,틀렸습니다,,,Python 3,997,2022-04-16 14:49
Bronze IV,기하학/수학/피타고라스 정리,1297,TV 크기,Silver IV,시간 초과,,,C++17,334,2022-04-16 14:48
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,맞았습니다!!,9472,172,TypeScript,175,2022-04-16 14:48
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Silver I,틀렸습니다,,,Python 3,997,2022-04-16 14:48
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Gold V,틀렸습니다,,,Python 3,1888,2022-04-16 14:48
Bronze IV,사칙연산/수학,2588,곱셈,Bronze V,맞았습니다!!,1112,0,C99,231,2022-04-16 14:48
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,Gold III,틀렸습니다,,,Python 3,960,2022-04-16 14:48
Bronze II,구현/문자열,10809,알파벳 찾기,Silver V,틀렸습니다,,,Python 3,121,2022-04-16 14:48
Silver I,조합론/구현/수학/문자열,9081,단어 맞추기,Gold I,메모리 초과,,,PyPy3,354,2022-04-16 14:48
Bronze III,구현,2741,N 찍기,Bronze V,맞았습니다!!,30840,112,Python 3,53,2022-04-16 14:48
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver IV,시간 초과,,,Java 11,315,2022-04-16 14:48
Silver III,다이나믹 프로그래밍,9095,"1, 2, 3 더하기",Gold V,맞았습니다!!,14180,128,Java 11,727,2022-04-16 14:48
Silver II,브루트포스 알고리즘/구현,18111,마인크래프트,Platinum V,맞았습니다!!,3688,92,C++17,1520,2022-04-16 14:48
Bronze I,조합론/구현/수학,11050,이항 계수 1,Silver IV,틀렸습니다,,,C++17,222,2022-04-16 14:48
Silver I,중국인의 나머지 정리/수학/정수론,6064,카잉 달력,Gold I,맞았습니다!!,14272,188,Java 11,1331,2022-04-16 14:48
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,맞았습니다!!,9472,168,node.js,175,2022-04-16 14:48
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,UNRANK,틀렸습니다,,,C++17,542,2022-04-16 14:48
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver IV,컴파일 에러,,,Java 11,319,2022-04-16 14:48
Gold III,최소 공통 조상/트리,11437,LCA,Gold III,런타임 에러 (OutOfBounds),,,C++17,1813,2022-04-16 14:48
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,맞았습니다!!,1112,0,C++17,90,2022-04-16 14:48
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,맞았습니다!!,2020,0,C++17,77,2022-04-16 14:48
Silver I,분할 정복/재귀,2447,별 찍기 - 10,Gold IV,맞았습니다!!,1116,204,C99,344,2022-04-16 14:48
Bronze II,구현,2562,최댓값,Silver V,맞았습니다!!,30840,72,Python 3,184,2022-04-16 14:48
Silver IV,다이나믹 프로그래밍/구현,2491,수열,UNRANK,맞았습니다!!,13740,8,C++17,609,2022-04-16 14:48
Silver I,다이나믹 프로그래밍,1149,RGB거리,Gold II,맞았습니다!!,14556,140,Java 11,1066,2022-04-16 14:48
Silver III,다이나믹 프로그래밍,9095,"1, 2, 3 더하기",Gold V,맞았습니다!!,14392,148,Java 11,721,2022-04-16 14:48
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,컴파일 에러,,,Python 3,77,2022-04-16 14:48
Bronze IV,그리디 알고리즘/구현/수학,10162,전자레인지,UNRANK,100점,16344,196,Java 11,1095,2022-04-16 14:48
Bronze V,구현,24218,Double Crypt  1,Diamond V,맞았습니다!!,4528,0,Text,65,2022-04-16 14:48
Bronze I,구현/문자열,1157,단어 공부,UNRANK,틀렸습니다,,,Java 8,1056,2022-04-16 14:48
Silver II,수학/정수론,17427,약수의 합 2,Silver III,맞았습니다!!,10272,192,node.js,176,2022-04-16 14:48
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,컴파일 에러,,,C++17,89,2022-04-16 14:48
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold II,맞았습니다!!,67736,1580,Python 3,1117,2022-04-16 14:48
Bronze III,구현/시뮬레이션,20361,일우는 야바위꾼,Silver I,맞았습니다!!,30840,168,Python 3,216,2022-04-16 14:48
Gold III,다이나믹 프로그래밍/누적 합,21757,나누기,Platinum III,58점,6708,4,C++17,1047,2022-04-16 14:48
Gold V,이분 탐색/매개 변수 탐색,2110,공유기 설치,Bronze II,맞았습니다!!,176852,1168,Java 11,1253,2022-04-16 14:48
Silver III,다이나믹 프로그래밍,1904,01타일,Gold III,맞았습니다!!,37056,36,C++17,478,2022-04-16 14:48
Silver V,정렬/문자열,1427,소트인사이드,UNRANK,컴파일 에러,,,Java 11,575,2022-04-16 14:48
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold V,맞았습니다!!,68272,1520,Python 3,976,2022-04-16 14:48
Platinum V,볼록 껍질/기하학,10903,Wall construction,Platinum IV,틀렸습니다,,,C++17,1860,2022-04-16 14:48
Gold IV,구현/시뮬레이션,16235,나무 재테크,Gold II,틀렸습니다,,,Python 3,2134,2022-04-16 14:48
Bronze IV,기하학/수학/피타고라스 정리,1297,TV 크기,Silver IV,컴파일 에러,,,C++17,329,2022-04-16 14:47
Silver III,자료 구조/연결 리스트/스택,5397,키로거,Silver I,맞았습니다!!,19468,464,C++17,784,2022-04-16 14:47
Bronze V,구현,24218,Double Crypt  1,Diamond V,틀렸습니다,,,Text,65,2022-04-16 14:47
Bronze IV,기하학/구현/수학,14681,사분면 고르기,UNRANK,맞았습니다!!,17684,208,Java 11,475,2022-04-16 14:47
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,런타임 에러 (TypeError),,,Python 3,577,2022-04-16 14:47
Bronze II,구현,2920,음계,Silver III,맞았습니다!!,30840,84,Python 3,172,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold V,런타임 에러 (RecursionError),,,Python 3,975,2022-04-16 14:47
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,16965,구간과 쿼리,Diamond I,맞았습니다!!,2156,0,C++17,786,2022-04-16 14:47
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,Bronze III,맞았습니다!!,17676,212,Java 11,442,2022-04-16 14:47
Silver I,분할 정복을 이용한 거듭제곱/수학,1629,곱셈,Silver I,시간 초과,,,Python 3,55,2022-04-16 14:47
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Silver IV,시간 초과,,,Python 3,941,2022-04-16 14:47
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,맞았습니다!!,122304,940,PyPy3,457,2022-04-16 14:47
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,9205,맥주 마시면서 걸어가기,Gold V,맞았습니다!!,17816,292,Java 8,1439,2022-04-16 14:47
Gold III,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현/시뮬레이션,23288,주사위 굴리기 2,UNRANK,맞았습니다!!,2028,16,C++17,4111,2022-04-16 14:47
Gold III,다이나믹 프로그래밍/누적 합,21757,나누기,Platinum III,58점,6708,4,C++17,1048,2022-04-16 14:47
Bronze V,사칙연산/수학,5522,카드 게임,Silver III,100점,2020,0,C++17,214,2022-04-16 14:47
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,런타임 에러 (TypeError),,,Python 3,582,2022-04-16 14:47
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,시간 초과,,,Python 3,457,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold V,맞았습니다!!,50772,1648,Python 3,1904,2022-04-16 14:47
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,6588,골드바흐의 추측,Silver V,맞았습니다!!,38652,312,Python 3,522,2022-04-16 14:47
Gold III,백트래킹/너비 우선 탐색/브루트포스 알고리즘/조합론/깊이 우선 탐색/그래프 이론/그래프 탐색/수학,1941,소문난 칠공주,Silver II,맞았습니다!!,204984,336,Java 8,1748,2022-04-16 14:47
Silver III,백트래킹,15651,N과 M (3),Gold III,맞았습니다!!,30840,1540,Python 3,208,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold II,런타임 에러 (RecursionError),,,Python 3,1031,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Platinum V,틀렸습니다,,,PyPy3,1141,2022-04-16 14:47
Bronze I,조합론/구현/수학,11050,이항 계수 1,Silver IV,틀렸습니다,,,C++17,211,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold V,런타임 에러 (RecursionError),,,Python 3,947,2022-04-16 14:47
Bronze III,구현/수학,10871,X보다 작은 수,UNRANK,맞았습니다!!,1112,4,C++17,199,2022-04-16 14:47
Gold III,조합론/깊이 우선 탐색/그래프 이론/그래프 탐색/수학/트리,21606,아침 산책,Gold III,200점,282224,756,Python 3,1026,2022-04-16 14:47
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,맞았습니다!!,1112,0,C++17,371,2022-04-16 14:47
Bronze IV,사칙연산/수학,1712,손익분기점,Silver V,시간 초과,,,Python 3,164,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold II,출력 초과,,,Python 3,1050,2022-04-16 14:47
Bronze III,구현/수학,10871,X보다 작은 수,UNRANK,맞았습니다!!,1112,0,C++17,211,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Gold I,시간 초과,,,Python 3,1425,2022-04-16 14:47
Bronze III,구현,2742,기찍 N,Not ratable,틀렸습니다,,,C++17,215,2022-04-16 14:47
Silver V,그리디 알고리즘/문자열,1439,뒤집기,UNRANK,맞았습니다!!,2024,0,C++17,322,2022-04-16 14:47
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,맞았습니다!!,122304,956,PyPy3,457,2022-04-16 14:47
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Platinum V,시간 초과,,,Python 3,1141,2022-04-16 14:47
Silver III,다이나믹 프로그래밍,1904,01타일,Silver II,맞았습니다!!,69372,576,Python 3,294,2022-04-16 14:47
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver V,틀렸습니다,,,Python 3,195,2022-04-16 14:47
Gold III,다이나믹 프로그래밍/누적 합,21757,나누기,Platinum III,58점,6708,4,C++17,1048,2022-04-16 14:47
Bronze II,수학,1075,나누기,Bronze I,틀렸습니다,,,Python 3,151,2022-04-16 14:46
Bronze IV,사칙연산/수학,4299,AFC 윔블던,UNRANK,틀렸습니다,,,Python 3,81,2022-04-16 14:46
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,맞았습니다!!,1112,0,C99,231,2022-04-16 14:46
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,맞았습니다!!,9468,148,node.js,177,2022-04-16 14:46
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Gold I,메모리 초과,,,PyPy3,1424,2022-04-16 14:46
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,Gold III,맞았습니다!!,30840,132,Python 3,1159,2022-04-16 14:46
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,맞았습니다!!,1112,0,C++17,427,2022-04-16 14:46
Bronze IV,사칙연산/수학,2525,오븐 시계,Not ratable,컴파일 에러,,,C++17,248,2022-04-16 14:46
Bronze IV,사칙연산/수학,4299,AFC 윔블던,UNRANK,컴파일 에러,,,C++17,81,2022-04-16 14:46
Gold III,그리디 알고리즘/정렬,2437,저울,Gold I,시간 초과,,,Java 8,1789,2022-04-16 14:46
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,맞았습니다!!,58096,632,Python 3,606,2022-04-16 14:46
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,틀렸습니다,,,PyPy3,437,2022-04-16 14:46
Bronze IV,사칙연산/수학,2525,오븐 시계,Bronze I,맞았습니다!!,30840,80,Python 3,195,2022-04-16 14:46
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,맞았습니다!!,9448,160,node.js,192,2022-04-16 14:46
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,Gold III,틀렸습니다,,,Python 3,951,2022-04-16 14:46
Silver III,다이나믹 프로그래밍,11726,2×n 타일링,UNRANK,틀렸습니다,,,Python 3,192,2022-04-16 14:46
Silver IV,임의 정밀도 / 큰 수 연산/수학,1676,팩토리얼 0의 개수,Silver II,맞았습니다!!,2020,0,C++17,108,2022-04-16 14:46
Bronze II,사칙연산/수학,3052,나머지,UNRANK,맞았습니다!!,1112,0,C++17,368,2022-04-16 14:46
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,컴파일 에러,,,Python 3,584,2022-04-16 14:46
Gold V,그리디 알고리즘/정렬,1461,도서관,Gold I,틀렸습니다,,,Python 3,1290,2022-04-16 14:46
Silver I,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,2667,단지번호붙이기,Gold IV,틀렸습니다,,,Python 3,889,2022-04-16 14:46
Gold III,브루트포스 알고리즘/구현,21277,짠돌이 호석,UNRANK,맞았습니다!! (3/19),14160,120,Java 11,4338,2022-04-16 14:46
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver IV,시간 초과,,,Java 11,344,2022-04-16 14:46
Silver III,수학/정수론/소수 판정/에라토스테네스의 체,1929,소수 구하기,UNRANK,시간 초과,,,C++17,223,2022-04-16 14:46
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,UNRANK,맞았습니다!!,1116,0,C++17,933,2022-04-16 14:46
Silver I,재귀/트리,1991,트리 순회,Gold III,맞았습니다!!,9348,116,node.js,909,2022-04-16 14:46
Gold IV,자료 구조/그리디 알고리즘/스택,2812,크게 만들기,Diamond V,맞았습니다!!,2920,12,C++17,800,2022-04-16 14:46
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,시간 초과,,,Python 3,437,2022-04-16 14:46
Bronze I,사칙연산/수학,1546,평균,UNRANK,맞았습니다!!,9616,124,node.js,321,2022-04-16 14:46
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,C99,216,2022-04-16 14:46
Bronze III,사칙연산/수학,15818,오버플로우와 모듈러,Silver I,맞았습니다!!,30840,68,Python 3,176,2022-04-16 14:46
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,틀렸습니다,,,Python 3,593,2022-04-16 14:46
Bronze II,사칙연산/수학,3052,나머지,UNRANK,컴파일 에러,,,C++17,370,2022-04-16 14:46
Silver III,다이나믹 프로그래밍,11726,2×n 타일링,UNRANK,틀렸습니다,,,Python 3,192,2022-04-16 14:46
Bronze III,구현/수학,10871,X보다 작은 수,Silver III,맞았습니다!!,16136,188,Java 11,1012,2022-04-16 14:46
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,Gold V,맞았습니다!!,30840,72,Python 3,349,2022-04-16 14:46
Gold IV,브루트포스 알고리즘,7573,고기잡이,UNRANK,틀렸습니다,,,C++17,918,2022-04-16 14:46
Silver IV,자료 구조/큐,1158,요세푸스 문제,Bronze III,틀렸습니다,,,C++17,432,2022-04-16 14:46
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver V,틀렸습니다,,,C++17,233,2022-04-16 14:46
Silver III,다이나믹 프로그래밍,11726,2×n 타일링,UNRANK,출력 초과,,,Python 3,189,2022-04-16 14:46
Bronze IV,사칙연산/수학,1712,손익분기점,Bronze I,시간 초과,,,Python 3,270,2022-04-16 14:46
Silver V,정렬,10989,수 정렬하기 3,Platinum V,런타임 에러 (Segfault),,,C++17,345,2022-04-16 14:46
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,맞았습니다!!,9448,208,node.js,210,2022-04-16 14:46
Silver III,백트래킹,15649,N과 M (1),Silver III,맞았습니다!!,30840,200,Python 3,348,2022-04-16 14:46
Silver V,정렬/문자열,1427,소트인사이드,UNRANK,컴파일 에러,,,Java 11,567,2022-04-16 14:46
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,틀렸습니다,,,Python 3,276,2022-04-16 14:46
Silver V,그리디 알고리즘/문자열,1439,뒤집기,UNRANK,틀렸습니다,,,C++17,321,2022-04-16 14:46
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,런타임 에러 (TypeError),,,Python 3,588,2022-04-16 14:46
Silver I,구현/문자열/두 포인터,17609,회문,Gold I,메모리 초과,,,PyPy3,402,2022-04-16 14:45
Bronze I,그리디 알고리즘/구현/문자열,2810,컵홀더,Platinum II,맞았습니다!!,2024,0,C++17,1566,2022-04-16 14:45
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,11724,연결 요소의 개수,UNRANK,맞았습니다!!,97372,1240,Python 3,1270,2022-04-16 14:45
Silver IV,자료 구조/큐,1158,요세푸스 문제,UNRANK,틀렸습니다,,,C99,2739,2022-04-16 14:45
Gold II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현/시뮬레이션,2933,미네랄,Platinum V,맞았습니다!!,32604,1060,Python 3,2303,2022-04-16 14:45
Gold V,다이나믹 프로그래밍/배낭 문제,12865,평범한 배낭,UNRANK,맞았습니다!!,41356,36,C++17,593,2022-04-16 14:45
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver IV,틀렸습니다,,,Java 11,347,2022-04-16 14:45
Bronze II,사칙연산/수학,3052,나머지,UNRANK,컴파일 에러,,,C++17,370,2022-04-16 14:45
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Silver I,시간 초과,,,Python 3,660,2022-04-16 14:45
Bronze III,구현/수학,10818,"최소, 최대",UNRANK,맞았습니다!!,5016,180,C11,368,2022-04-16 14:45
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,7562,나이트의 이동,Gold II,틀렸습니다,,,C++17,1223,2022-04-16 14:45
Silver IV,기하학/수학,1002,터렛,Gold III,틀렸습니다,,,Python 3,501,2022-04-16 14:45
Silver I,자료 구조/우선순위 큐,11286,절댓값 힙,Platinum IV,틀렸습니다,,,C++17,3547,2022-04-16 14:45
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,Silver IV,맞았습니다!!,17672,208,Java 11,646,2022-04-16 14:45
Silver V,정렬,2751,수 정렬하기 2,Silver II,시간 초과,,,Python 3,88,2022-04-16 14:45
Silver IV,자료 구조/스택,10828,스택,Not ratable,런타임 에러 (OutOfBounds),,,C99,1342,2022-04-16 14:45
Gold V,백트래킹/조합론/수학/문자열,6443,애너그램,Gold III,시간 초과,,,PyPy3,285,2022-04-16 14:45
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,런타임 에러 (NameError),,,PyPy3,436,2022-04-16 14:45
Gold V,자료 구조/덱/구현/큐/시뮬레이션,3190,뱀,Gold II,틀렸습니다,,,Java 8,1625,2022-04-16 14:45
Silver II,너비 우선 탐색/그래프 이론/그래프 탐색,24444,알고리즘 수업 - 너비 우선 탐색 1,Gold V,틀렸습니다,,,Python 3,575,2022-04-16 14:45
Silver III,유클리드 호제법/수학/정수론,9613,GCD 합,Silver V,런타임 에러 (WithoutReturning),,,C++17,676,2022-04-16 14:45
Bronze V,구현,7287,등록,Bronze V,맞았습니다!!,30840,68,Python 3,31,2022-04-16 14:45
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,틀렸습니다,,,Python 3,272,2022-04-16 14:45
Bronze II,사칙연산/수학/문자열,11720,숫자의 합,Silver V,틀렸습니다,,,C++17,233,2022-04-16 14:45
Bronze II,자료 구조/구현/스택,17608,막대기,UNRANK,맞았습니다!!,1384,20,C++17,295,2022-04-16 14:45
Gold IV,너비 우선 탐색/그래프 이론/그래프 탐색,13913,숨바꼭질 4,Silver II,틀렸습니다,,,C++17,1116,2022-04-16 14:45
Silver III,누적 합,11659,구간 합 구하기 4,Gold III,맞았습니다!!,2916,40,C++17,552,2022-04-16 14:45
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,9205,맥주 마시면서 걸어가기,Gold V,맞았습니다!!,19768,260,Java 8,1429,2022-04-16 14:45
Gold III,조합론/깊이 우선 탐색/그래프 이론/그래프 탐색/수학/트리,21606,아침 산책,Gold III,3점,67344,800,Python 3,822,2022-04-16 14:45
Gold IV,자료 구조/해시를 사용한 집합과 맵/정렬,17092,색칠 공부,Gold III,틀렸습니다,,,Python 3,644,2022-04-16 14:45
Platinum V,깊이 우선 탐색/오일러 경로/그래프 이론/그래프 탐색,1199,오일러 회로,Gold I,시간 초과,,,PyPy3,751,2022-04-16 14:45
Bronze IV,구현/수학,2753,윤년,UNRANK,맞았습니다!!,17740,212,Java 11,312,2022-04-16 14:45
Bronze III,사칙연산/구현/수학,11021,A+B - 7,UNRANK,틀렸습니다,,,Python 3,152,2022-04-16 14:45
Bronze IV,기하학/수학/피타고라스 정리,20215,Cutting Corners,Platinum II,맞았습니다!!,30840,72,Python 3,56,2022-04-16 14:45
